,Coverage,HDI Rank,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,OneMoreColumn
0,Country,169.0,Afghanistan,0.302,0.307,0.316,0.312,0.307,0.331,0.335,0.33899999999999997,0.344,0.348,0.35,0.353,0.384,0.39299999999999996,0.409,0.418,0.429,0.447,0.447,0.46,0.47200000000000003,0.47700000000000004,0.489,0.496,0.5,0.5,0.502,0.506,0.509,1.022,1.02
1,Country,69.0,Albania,0.65,0.631,0.615,0.618,0.624,0.637,0.6459999999999999,0.645,0.655,0.665,0.6709999999999999,0.6779999999999999,0.684,0.691,0.696,0.706,0.713,0.722,0.728,0.733,0.745,0.764,0.775,0.782,0.787,0.7879999999999999,0.7879999999999999,0.79,0.792,1.59,1.5870000000000002
2,Country,91.0,Algeria,0.5720000000000001,0.5760000000000001,0.5820000000000001,0.586,0.59,0.595,0.602,0.611,0.621,0.629,0.637,0.647,0.657,0.667,0.677,0.685,0.69,0.7,0.7020000000000001,0.711,0.721,0.728,0.728,0.7290000000000001,0.736,0.74,0.743,0.745,0.746,1.496,1.494
3,Country,36.0,Andorra,,,,,,,,,,,0.813,0.815,0.82,0.8270000000000001,0.833,0.8270000000000001,0.8370000000000001,0.8370000000000001,0.84,0.8390000000000001,0.8370000000000001,0.836,0.858,0.856,0.863,0.862,0.866,0.863,0.867,1.736,1.7349999999999999
4,Country,148.0,Angola,,,,,,,,,,0.391,0.4,0.41,0.426,0.435,0.446,0.46,0.473,0.489,0.501,0.515,0.517,0.5329999999999999,0.544,0.555,0.565,0.5720000000000001,0.578,0.5820000000000001,0.5820000000000001,1.162,1.163
5,Country,78.0,Antigua and Barbuda,,,,,,,,,,,,,,,,0.764,0.7709999999999999,0.7759999999999999,0.774,0.767,0.763,0.755,0.759,0.76,0.76,0.762,0.765,0.768,0.772,1.556,1.55
6,Country,46.0,Argentina,0.718,0.725,0.73,0.735,0.7390000000000001,0.741,0.748,0.757,0.763,0.774,0.7809999999999999,0.7859999999999999,0.7809999999999999,0.7859999999999999,0.787,0.7879999999999999,0.812,0.8170000000000001,0.821,0.821,0.8290000000000001,0.835,0.8340000000000001,0.835,0.836,0.84,0.8390000000000001,0.843,0.8420000000000001,1.69,1.687
7,Country,81.0,Armenia,0.654,0.648,0.618,0.617,0.621,0.627,0.634,0.645,0.657,0.664,0.669,0.6729999999999999,0.682,0.691,0.7,0.7120000000000001,0.726,0.741,0.745,0.742,0.747,0.7509999999999999,0.7559999999999999,0.762,0.764,0.768,0.7659999999999999,0.769,0.7709999999999999,1.5519999999999998,1.5469999999999997
8,Country,8.0,Australia,0.871,0.871,0.873,0.8759999999999999,0.879,0.888,0.89,0.893,0.8959999999999999,0.9,0.903,0.905,0.907,0.909,0.9109999999999999,0.9059999999999999,0.909,0.912,0.9259999999999999,0.9279999999999999,0.93,0.932,0.937,0.9309999999999999,0.9329999999999999,0.938,0.9390000000000001,0.941,0.943,1.8880000000000001,1.887
9,Country,18.0,Austria,0.8029999999999999,0.8079999999999999,0.813,0.8170000000000001,0.821,0.825,0.8290000000000001,0.8320000000000001,0.8370000000000001,0.8420000000000001,0.847,0.857,0.847,0.851,0.858,0.863,0.87,0.89,0.893,0.895,0.904,0.9059999999999999,0.9079999999999999,0.905,0.9129999999999999,0.915,0.917,0.919,0.9209999999999999,1.844,1.843
10,Country,88.0,Azerbaijan,,,,,,0.604,0.605,0.61,0.619,0.629,0.635,0.643,0.6509999999999999,0.659,0.667,0.674,0.701,0.706,0.716,0.727,0.726,0.727,0.73,0.735,0.74,0.7440000000000001,0.7509999999999999,0.754,0.754,1.5119999999999998,1.5099999999999998
11,Country,58.0,Bahamas,,,,,,,,,,,0.797,0.7979999999999999,0.8,0.799,0.8,0.8009999999999999,0.804,0.804,0.804,0.8029999999999999,0.805,0.805,0.807,0.8059999999999999,0.805,0.8079999999999999,0.81,0.812,0.812,1.6280000000000001,1.6260000000000001
12,Country,42.0,Bahrain,0.7490000000000001,0.755,0.76,0.769,0.772,0.778,0.782,0.7829999999999999,0.787,0.789,0.795,0.7959999999999999,0.795,0.797,0.7959999999999999,0.795,0.797,0.799,0.8,0.7979999999999999,0.8,0.8009999999999999,0.8079999999999999,0.815,0.82,0.848,0.853,0.8540000000000001,0.852,1.704,1.704
13,Country,133.0,Bangladesh,0.39399999999999996,0.401,0.41,0.418,0.426,0.434,0.44299999999999995,0.452,0.461,0.469,0.478,0.486,0.49200000000000005,0.499,0.506,0.514,0.521,0.528,0.531,0.5429999999999999,0.557,0.5660000000000001,0.575,0.579,0.579,0.595,0.606,0.616,0.625,1.264,1.2570000000000001
14,Country,58.0,Barbados,0.732,0.733,0.733,0.737,0.742,0.747,0.7509999999999999,0.757,0.753,0.76,0.7709999999999999,0.77,0.774,0.778,0.782,0.787,0.7909999999999999,0.7959999999999999,0.8,0.8,0.797,0.799,0.8079999999999999,0.807,0.8079999999999999,0.809,0.8109999999999999,0.81,0.81,1.6280000000000001,1.624
15,Country,53.0,Belarus,,,,,,0.66,0.664,0.67,0.674,0.679,0.6859999999999999,0.6920000000000001,0.6990000000000001,0.7070000000000001,0.7170000000000001,0.727,0.7440000000000001,0.76,0.777,0.787,0.795,0.8009999999999999,0.8059999999999999,0.8109999999999999,0.8140000000000001,0.8140000000000001,0.815,0.8190000000000001,0.823,1.646,1.646
16,Country,14.0,Belgium,0.813,0.8170000000000001,0.8320000000000001,0.845,0.852,0.8590000000000001,0.8640000000000001,0.8690000000000001,0.873,0.875,0.88,0.883,0.8859999999999999,0.889,0.893,0.897,0.904,0.907,0.9059999999999999,0.907,0.91,0.9109999999999999,0.9129999999999999,0.9159999999999999,0.9179999999999999,0.922,0.924,0.929,0.93,1.8619999999999999,1.861
17,Country,110.0,Belize,0.61,0.614,0.621,0.624,0.623,0.624,0.624,0.626,0.628,0.633,0.64,0.644,0.6509999999999999,0.659,0.665,0.662,0.672,0.674,0.679,0.684,0.695,0.6940000000000001,0.701,0.7020000000000001,0.705,0.71,0.7170000000000001,0.7140000000000001,0.7140000000000001,1.432,1.4300000000000002
18,Country,158.0,Benin,0.364,0.371,0.375,0.382,0.386,0.391,0.39399999999999996,0.39899999999999997,0.40299999999999997,0.409,0.41600000000000004,0.428,0.43799999999999994,0.445,0.45299999999999996,0.45899999999999996,0.467,0.475,0.48200000000000004,0.488,0.494,0.5,0.51,0.522,0.527,0.532,0.5329999999999999,0.536,0.541,1.09,1.086
19,Country,129.0,Bhutan,,,,,,,,,,,,,,,,0.52,0.526,0.542,0.551,0.561,0.574,0.585,0.597,0.61,0.618,0.628,0.637,0.6459999999999999,0.649,1.308,1.303
20,Country,107.0,Bolivia (Plurinational State of),0.551,0.5589999999999999,0.5660000000000001,0.573,0.581,0.589,0.595,0.598,0.61,0.619,0.627,0.63,0.637,0.64,0.6409999999999999,0.643,0.649,0.649,0.6579999999999999,0.6629999999999999,0.667,0.6709999999999999,0.675,0.684,0.69,0.6970000000000001,0.7020000000000001,0.71,0.7140000000000001,1.436,1.432
21,Country,73.0,Bosnia and Herzegovina,,,,,,,,,,,0.679,0.684,0.6890000000000001,0.695,0.701,0.706,0.7120000000000001,0.7190000000000001,0.726,0.727,0.721,0.7290000000000001,0.748,0.755,0.758,0.7609999999999999,0.772,0.774,0.777,1.56,1.557
22,Country,100.0,Botswana,0.573,0.579,0.5770000000000001,0.5760000000000001,0.57,0.5760000000000001,0.575,0.5770000000000001,0.58,0.5820000000000001,0.581,0.5820000000000001,0.579,0.586,0.5920000000000001,0.601,0.615,0.628,0.6409999999999999,0.65,0.6629999999999999,0.677,0.6890000000000001,0.701,0.711,0.7170000000000001,0.72,0.726,0.73,1.47,1.4649999999999999
23,Country,84.0,Brazil,0.613,0.621,0.627,0.635,0.642,0.6509999999999999,0.6579999999999999,0.665,0.67,0.6759999999999999,0.685,0.691,0.6990000000000001,0.695,0.698,0.7,0.7020000000000001,0.706,0.7170000000000001,0.7190000000000001,0.727,0.731,0.735,0.753,0.7559999999999999,0.7559999999999999,0.758,0.7609999999999999,0.762,1.53,1.5270000000000001
24,Country,47.0,Brunei Darussalam,0.767,0.7709999999999999,0.777,0.7809999999999999,0.7859999999999999,0.79,0.7929999999999999,0.794,0.794,0.8,0.802,0.8029999999999999,0.807,0.813,0.818,0.8220000000000001,0.825,0.825,0.825,0.8270000000000001,0.8270000000000001,0.831,0.8390000000000001,0.8390000000000001,0.838,0.838,0.8390000000000001,0.838,0.836,1.676,1.674
25,Country,56.0,Bulgaria,0.708,0.705,0.705,0.7040000000000001,0.705,0.71,0.718,0.713,0.718,0.716,0.72,0.73,0.736,0.745,0.752,0.758,0.765,0.773,0.78,0.782,0.7879999999999999,0.7909999999999999,0.795,0.8009999999999999,0.8059999999999999,0.809,0.8109999999999999,0.8109999999999999,0.813,1.632,1.629
26,Country,182.0,Burkina Faso,,,,,,,,,,,0.293,0.298,0.303,0.31,0.32,0.332,0.341,0.35200000000000004,0.364,0.373,0.384,0.39399999999999996,0.40299999999999997,0.41,0.413,0.42200000000000004,0.428,0.439,0.44299999999999995,0.904,0.895
27,Country,185.0,Burundi,0.299,0.302,0.299,0.299,0.29600000000000004,0.292,0.289,0.29,0.294,0.295,0.3,0.301,0.311,0.319,0.33,0.337,0.359,0.371,0.384,0.401,0.41100000000000003,0.419,0.426,0.43200000000000005,0.43799999999999994,0.43700000000000006,0.43799999999999994,0.434,0.431,0.866,0.864
28,Country,126.0,Cabo Verde,,,,,,,,,,,0.569,0.573,0.583,0.588,0.59,0.596,0.611,0.617,0.625,0.63,0.632,0.639,0.644,0.647,0.654,0.6559999999999999,0.657,0.66,0.6629999999999999,1.33,1.3279999999999998
29,Country,144.0,Cambodia,0.368,0.37200000000000005,0.377,0.381,0.385,0.391,0.396,0.401,0.406,0.41100000000000003,0.424,0.43799999999999994,0.457,0.47,0.48200000000000004,0.494,0.506,0.52,0.525,0.528,0.539,0.546,0.552,0.5589999999999999,0.565,0.57,0.5760000000000001,0.5820000000000001,0.585,1.188,1.1789999999999998
30,Country,153.0,Cameroon,0.44799999999999995,0.445,0.441,0.435,0.433,0.43200000000000005,0.431,0.43200000000000005,0.434,0.436,0.44,0.456,0.45799999999999996,0.46399999999999997,0.469,0.47,0.47100000000000003,0.48200000000000004,0.49,0.498,0.505,0.514,0.525,0.534,0.54,0.5489999999999999,0.5529999999999999,0.557,0.56,1.126,1.123
31,Country,16.0,Canada,0.85,0.8540000000000001,0.857,0.855,0.8590000000000001,0.862,0.8640000000000001,0.863,0.861,0.8640000000000001,0.867,0.871,0.877,0.882,0.888,0.894,0.898,0.8959999999999999,0.898,0.898,0.9009999999999999,0.903,0.9059999999999999,0.9129999999999999,0.9179999999999999,0.9209999999999999,0.9229999999999999,0.9259999999999999,0.9279999999999999,1.858,1.857
